Abkhazia,108,33
Afghanistan,153,183
Albania,585,609
Alderney,15,81
Algeria,1563,750
American Samoa,72,420
Andalusia,69,39
Andorra,81,537
Angola,735,444
Anguilla,42,168
Antigua and Barbuda,504,435
Arameans Suryoye,18,12
Argentina,3618,1434
Armenia,360,462
Artsakh,36,27
Aruba,273,366
Australia,2040,951
Austria,2481,1659
Azerbaijan,318,414
Bahamas,93,102
Bahrain,1218,966
Bangladesh,369,612
Barawa,48,123
Barbados,681,642
Basque Country,249,105
Belarus,450,426
Belgium,2505,1659
Belize,141,162
Benin,480,552
Bermuda,477,384
Bhutan,84,237
Bolivia,972,1146
Bonaire,30,93
Bosnia and Herzegovina,534,366
Botswana,438,471
Brazil,4209,1413
British Virgin Islands,156,264
Brittany,39,33
Brunei,72,237
Bulgaria,1578,1101
Burkina Faso,840,612
Burma,1290,729
Burundi,288,231
Cambodia,540,729
Cameroon,1269,639
Canada,687,594
Canary Islands,33,9
Cape Verde,342,255
Cascadia,30,9
Catalonia,195,168
Cayman Islands,198,351
Central African Republic,213,237
Central Spain,3,0
Chad,213,252
Chagos Islands,21,84
Chameria,12,0
Chile,2169,1413
China PR,2181,975
Chinese Taipei,108,93
Colombia,1110,774
Comoros,51,96
Congo,876,642
Cook Islands,66,264
Corsica,24,15
Costa Rica,1896,735
County of Nice,21,15
Crimea,0,15
Croatia,957,378
Cuba,735,468
Curaçao,909,543
Cyprus,675,1047
Czech Republic,939,387
Czechoslovakia,1647,837
DR Congo,1062,561
Darfur,0,207
Denmark,2592,1503
Djibouti,90,369
Dominica,387,552
Dominican Republic,354,234
East Timor,42,150
Ecuador,1080,939
Egypt,2301,969
El Salvador,1356,1050
Ellan Vannin,54,33
England,3447,1341
Equatorial Guinea,228,213
Eritrea,48,84
Estonia,813,1050
Eswatini,315,471
Ethiopia,1026,657
Falkland Islands,42,135
Faroe Islands,372,741
Felvidék,6,12
Fiji,1215,612
Finland,1446,1908
France,2910,1578
French Guiana,378,294
Frøya,87,105
Gabon,744,453
Galicia,42,33
Gambia,399,402
Georgia,465,342
German DR,762,375
Germany,3741,1569
Ghana,1665,687
Gibraltar,264,351
Gotland,201,126
Gozo,9,24
Greece,1254,1038
Greenland,225,135
Grenada,687,501
Guadeloupe,747,474
Guam,219,564
Guatemala,1218,810
Guernsey,309,129
Guinea,1038,504
Guinea-Bissau,276,300
Guyana,624,618
Găgăuzia,6,27
Haiti,1236,711
Hitra,36,90
Honduras,1338,735
Hong Kong,1233,1101
Hungary,3186,1647
Iceland,846,873
India,1026,1029
Indonesia,1986,1320
Iran,1794,561
Iraq,1626,633
Iraqi Kurdistan,78,33
Isle of Man,225,84
Isle of Wight,183,90
Israel,1173,936
Italy,2661,1053
Ivory Coast,1641,681
Jamaica,1422,927
Japan,2070,1224
Jersey,387,120
Jordan,897,510
Kabylia,0,6
Kazakhstan,366,372
Kenya,1836,1230
Kernow,51,48
Kiribati,15,204
Kosovo,123,126
Kuwait,1719,933
Kyrgyzstan,243,261
