,year,count
0,1872,1
1,1873,1
2,1874,1
3,1875,1
4,1876,2
5,1877,2
6,1878,2
7,1879,3
8,1880,3
9,1881,3
10,1882,5
11,1883,5
12,1884,6
13,1885,7
14,1886,7
15,1887,6
16,1888,7
17,1889,6
18,1890,6
19,1891,6
20,1892,6
21,1893,5
22,1894,6
23,1895,6
24,1896,6
25,1897,6
26,1898,6
27,1899,6
28,1900,6
29,1901,6
30,1902,8
31,1903,9
32,1904,8
33,1905,12
34,1906,14
35,1907,13
36,1908,26
37,1909,19
38,1910,26
39,1911,33
40,1912,35
41,1913,35
42,1914,31
43,1915,16
44,1916,29
45,1917,24
46,1918,17
47,1919,33
48,1920,35
49,1921,54
50,1922,67
51,1923,90
52,1924,83
53,1925,80
54,1926,85
55,1927,79
56,1928,74
57,1929,82
58,1930,98
59,1931,97
60,1932,90
61,1933,93
62,1934,106
63,1935,102
64,1936,83
65,1937,119
66,1938,133
67,1939,85
68,1940,56
69,1941,52
70,1942,56
71,1943,35
72,1944,30
73,1945,64
74,1946,92
75,1947,139
76,1948,124
77,1949,150
78,1950,133
79,1951,97
80,1952,116
81,1953,175
82,1954,149
83,1955,150
84,1956,193
85,1957,221
86,1958,165
87,1959,181
88,1960,211
89,1961,208
90,1962,228
91,1963,266
92,1964,186
93,1965,318
94,1966,313
95,1967,333
96,1968,299
97,1969,346
98,1970,316
99,1971,373
100,1972,408
101,1973,426
102,1974,345
103,1975,357
104,1976,392
105,1977,412
106,1978,336
107,1979,398
108,1980,492
109,1981,466
110,1982,376
111,1983,452
112,1984,536
113,1985,571
114,1986,390
115,1987,358
116,1988,545
117,1989,590
118,1990,433
119,1991,473
120,1992,581
121,1993,733
122,1994,570
123,1995,641
124,1996,830
125,1997,863
126,1998,698
127,1999,739
128,2000,1026
129,2001,1018
130,2002,760
131,2003,936
132,2004,1064
133,2005,804
134,2006,838
135,2007,978
136,2008,1091
137,2009,897
138,2010,854
139,2011,1081
140,2012,1012
141,2013,965
142,2014,860
143,2015,1003
144,2016,926
145,2017,958
146,2018,905
147,2019,1155
148,2020,61
