,draws,lost,wins
Abkhazia,12.0,4.0,12.0
Afghanistan,24.0,57.0,30.0
Albania,69.0,180.0,85.0
Alderney,0.0,16.0,3.0
Algeria,139.0,152.0,214.0
American Samoa,2.0,41.0,5.0
Andalusia,4.0,1.0,8.0
Andorra,20.0,140.0,6.0
Angola,123.0,108.0,121.0
Anguilla,5.0,53.0,3.0
Antigua and Barbuda,38.0,96.0,62.0
Arameans Suryoye,2.0,3.0,5.0
Argentina,243.0,211.0,526.0
Armenia,43.0,117.0,52.0
Artsakh,2.0,3.0,6.0
Aruba,27.0,72.0,21.0
Asturias,0.0,0.0,1.0
Australia,112.0,149.0,256.0
Austria,170.0,286.0,324.0
Azerbaijan,65.0,134.0,48.0
Bahamas,6.0,19.0,11.0
Bahrain,141.0,184.0,164.0
Bangladesh,44.0,114.0,50.0
Barawa,0.0,9.0,3.0
Barbados,59.0,116.0,88.0
Basque Country,11.0,9.0,37.0
Belarus,63.0,112.0,77.0
Belgium,164.0,271.0,335.0
Belize,12.0,49.0,18.0
Benin,66.0,135.0,59.0
Bermuda,26.0,72.0,54.0
Bhutan,5.0,67.0,9.0
Bolivia,112.0,245.0,101.0
Bonaire,3.0,11.0,7.0
Bosnia and Herzegovina,49.0,85.0,88.0
Botswana,84.0,120.0,75.0
Brazil,199.0,157.0,625.0
British Virgin Islands,14.0,61.0,16.0
Brittany,3.0,3.0,6.0
Brunei,5.0,58.0,10.0
Bulgaria,168.0,257.0,249.0
Burkina Faso,108.0,157.0,123.0
Burma,60.0,130.0,151.0
Burundi,47.0,83.0,58.0
Cambodia,31.0,146.0,48.0
Cameroon,166.0,136.0,232.0
Canada,87.0,160.0,134.0
Canary Islands,0.0,1.0,3.0
Cape Verde,38.0,70.0,58.0
Cascadia,1.0,2.0,4.0
Catalonia,12.0,17.0,18.0
Cayman Islands,14.0,58.0,19.0
Central African Republic,21.0,55.0,20.0
Central Spain,0.0,1.0,1.0
Chad,28.0,62.0,25.0
Chagos Islands,1.0,9.0,1.0
Chameria,2.0,1.0,2.0
Chile,160.0,310.0,290.0
China PR,135.0,175.0,286.0
Chinese Taipei,21.0,90.0,38.0
Colombia,151.0,185.0,214.0
Comoros,19.0,32.0,9.0
Congo,97.0,149.0,129.0
Cook Islands,4.0,30.0,9.0
Corsica,4.0,1.0,4.0
Costa Rica,153.0,194.0,257.0
County of Nice,1.0,2.0,6.0
Crimea,0.0,2.0,3.0
